Delta_passing_attempts	Delta_passing_completions	Delta_passing_yards	Delta_passing_rating	Delta_passing_touchdowns	Delta_passing_interceptions	Delta_passing_sacks	Delta_passing_sacks_yards_lost	Delta_rushing_attempts	Delta_rushing_yards	Delta_rushing_touchdowns	Delta_receiving_targets	Delta_receiving_receptions	Delta_receiving_yards	Delta_receiving_touchdowns	Delta_kick_return_attempts	Delta_kick_return_yards	Delta_kick_return_touchdowns	Delta_punt_return_attempts	Delta_punt_return_yards	Delta_punt_return_touchdowns	Delta_defense_sacks	Delta_defense_tackles	Delta_defense_tackle_assists	Delta_defense_interceptions	Delta_defense_interception_yards	Delta_defense_interception_touchdowns	Delta_defense_safeties	Delta_point_after_attemps	Delta_point_after_makes	Delta_field_goal_attempts	Delta_field_goal_makes	Delta_punting_attempts	Delta_punting_yards	Delta_punting_blocked	Delta_Score
1	3.2	12.8	3.5	1.2	0.2	-0.6	-17.2	-0.2	-3.2	0.2	3.2	1	12.8	1.2	-0.4	-18.2	-0.2	1.4	8	0	0.6	0	0	-0.2	-6.2	0	0	0.6	0.8	-1.4	-1.4	-0.2	-7	0	3
1.2	5.8	13.4	-2.26	1	0	0	-16.8	-0.8	1	-0.2	5.2	1.2	13.4	1	0	-10.4	-0.2	1.4	6.4	0	0	0	0	0	0.4	0	0	0	0.2	-0.4	-0.6	-0.2	-16.8	0	-1
2.4	8.6	17.2	-12.64	0.2	0.8	1	-13	-7.8	-49.4	-0.2	7.4	2.4	17.2	0.2	1	19	0	1.2	7	0	-1	0	0	-0.8	-1.6	0	0	-0.4	-0.2	-1	-1	0.2	0.8	-0.2	-14
4	10.4	32.8	-26.32	0.4	1.2	1.6	-15.4	-8.2	-68.6	-0.6	9	4	32.8	0.4	2.4	52.8	0	0.8	-0.4	0	-1.6	0	0	-1.2	-16.4	0	0	-0.8	-0.6	-1.6	-1.6	0	-1.6	-0.2	-27
3.2	6.6	15.4	-17.32	-0.2	0.6	2.4	-16.2	-7.8	-69.2	0	7.2	3.2	15.4	-0.2	1.6	40.4	-0.2	0.8	10.6	0	-2.4	0	0	-0.6	3.8	0	0	-0.8	-0.6	-0.8	-1	-0.2	-9.6	-0.2	10
1.8	3.6	23.2	12.84	-0.2	0.6	4	-14.2	-12.4	-72.2	-0.8	4.2	1.8	23.2	-0.2	1.8	42	-0.2	-0.4	3.6	0	-4	0	0	-0.6	3.8	0	0	-1	-0.8	0.4	-0.2	0	2	-0.2	-6
2.6	4.6	45.2	11.64	0.2	1.2	4.6	-10.8	-16	-94	-0.8	4.4	2.6	45.2	0.2	2.6	60.8	-0.2	-0.8	-10	-0.2	-4.6	0	0	-1.2	-8	0	0	-1	-0.8	-0.4	-0.8	0	17.8	-0.2	-10
2	4.6	44.6	2.94	0.6	0.8	3.6	-10.4	-14	-76.2	-0.4	4	2	44.6	0.6	2.8	76	-0.2	-1	-16.4	-0.2	-3.6	0	0	-0.8	-9	0	0	-0.4	-0.4	-0.8	-1.2	0.2	28	0	3
-1.2	-1.8	9.4	19.66	0.8	-0.2	2.4	-13.8	-12	-55.4	0.2	-1.8	-1.2	9.4	0.8	1.2	31.8	-0.2	-0.6	-8.6	-0.2	-2.4	0	0	0.2	7.8	0	0	0.6	0.6	-0.2	-0.8	0.8	39.8	0	14
1.4	2.2	49.6	9.26	1.4	0.6	1.8	-8.8	-15.6	-67	-0.4	1.4	1.4	49.6	1.4	2.2	67	0	-0.6	-19.8	-0.2	-1.8	0	0	-0.6	-17.2	0	0	0.4	0.4	-0.8	-1.2	0.8	43.4	0	-3
2.2	3.2	8.2	-25.84	0.8	0.2	0	-8	-5.4	-26.8	0.6	3	2.2	8.2	0.8	1.4	60.2	0	0.4	-13	-0.2	0	0	0	-0.2	-15.2	0	0	0.6	0.6	-0.4	-0.8	0.4	28.8	0.2	13
3	1.8	-13.4	-22.02	0.6	0	-0.6	-6.2	-0.2	9.2	0.6	2	3	-13.4	0.6	0.2	31.2	0	0.4	-6.2	0	0.6	0	0	0	-10.2	0	0	0.8	0.8	-0.2	-0.6	0.6	27.8	0.2	2
5.2	5.6	25.8	-17.94	0.8	0	0.2	-1	1.4	11	-0.2	6.6	5.2	25.8	0.8	0	11.2	0	0.8	2.6	0	-0.2	0	0	0	-11.6	0	0	0.4	0.4	0.8	0.2	-0.4	-16.2	0.2	-7
8.2	11.2	75.4	-4.00000000000001	0.6	0.2	1	6.8	-1.6	-26.4	-0.4	12	8.2	75.4	0.6	0.6	37.6	0	0.8	4	0	-1	0	0	-0.2	-13	0	0	0	0	0.2	-0.2	-0.4	-25.4	0.2	-4
8.2	10	83.6	0.699999999999989	0	0	0.2	-1	1.8	-6.4	0	10.2	8.2	83.6	0	-0.4	-0.2	0	1.2	9.6	0	-0.2	0	0	0	-11.2	0	0	-0.2	-0.2	1	0.6	-1	-61	0.2	2
8.6	10.8	113.6	10.3	0	-0.4	0.8	4.6	-6.6	-50.6	-0.2	10.8	8.6	113.6	0	0.2	19.4	0	0.2	5.4	0	-0.8	0	0	0.4	-6	0	0	-0.4	-0.4	1	0.4	-0.4	-38	0	3
7.2	11.8	123.8	-15.64	-0.2	-0.2	1.4	6.8	-10.2	-92	-0.4	11.8	7.2	123.8	-0.2	0.6	22.8	0	0.8	13	0	-1.4	0	0	0.2	-13.2	0	0	-0.8	-0.8	1	0.4	-0.8	-58.8	0	-14
2.4	2	71.4	14.4	-0.4	-0.6	1	3	-7.6	-84.4	0.4	2	2.4	71.4	-0.4	-0.4	9.2	0	0.2	3.8	0	-1	0	0	0.6	-8.6	0	0	-0.2	-0.2	0.8	0.2	0.4	-10.6	0	11
-0.4	-0.8	41.2	14.08	-0.4	-0.4	0.8	2	-7.2	-79.4	0.2	-1	-0.4	41.2	-0.4	-0.8	-9.2	0	-0.4	2	0	-0.8	0	0	0.4	-17.4	0	0	-0.6	-0.6	1.2	0.6	0.4	5.4	0	-14
-2	2.4	-17.6	-4.54000000000002	-1	-0.2	1.2	5.2	-12.8	-100	0	2.4	-2	-17.6	-1	0.4	28	0	-0.8	7	0	-1.2	0	0	0.2	-8.6	0	0	-1	-1.2	0.8	0.2	0.8	46	0	-24
-4.4	0.4	-62.8	-20.34	-1.2	0.6	0.4	-2.2	-5.6	-46.8	0.2	-0.2	-4.4	-62.8	-1.2	0.2	18.6	0	-0.2	12.6	0	-0.4	0	0	-0.6	-15.8	0	0	-0.8	-1	1	0.6	0	14.8	0	4
-4.6	0	-72.8	-6.14000000000002	-1	0.8	-0.4	-5.4	-5	-35.8	0.4	-0.8	-4.6	-72.8	-1	-0.4	13.8	0	-0.6	12.4	0	0.4	0	0	-0.8	-9	0	0	-0.4	-0.6	1.2	1	0	14.4	0	4
-3	3.6	-67.4	-23.7	-1.4	1	-0.6	-5.6	-8.4	-39	0.4	2.6	-3	-67.4	-1.4	-0.2	17.4	0	0	18.4	0	0.6	0	0	-1	0.8	0	0	-0.6	-0.8	1	1	-0.8	-13.8	0	4
-4.2	2.6	-85	-34.46	-1.6	0.6	-0.8	-8.6	-9.6	-36.8	0.8	2	-4.2	-85	-1.6	0.2	26.2	-0.2	0.4	22.8	0	0.8	0	0	-0.6	16.4	0	0	-0.4	-0.6	0.8	0.8	-0.4	0.6	0	-10
-5.2	-2.8	-52	-14.26	-1	0.2	-0.2	-3.2	-2.6	-22	1	-3.6	-5.2	-52	-1	-0.8	7.6	-0.2	0	2.2	-0.2	0.2	0	0	-0.2	15.4	0	0	-0.2	-0.2	1.2	1.2	-0.2	-6.4	0	1
-3	1.2	-38.6	-44.48	-0.8	1	0.2	0.4	-10.8	-75	0.4	0.2	-3	-38.6	-0.8	0.4	35.8	-0.2	-0.6	-4.8	-0.2	-0.2	0	0	-1	10.6	0	0	-0.8	-0.8	-0.4	-0.2	1	51	0	-26
-2.2	2.8	-32.8	-35.82	-0.4	0.6	0.2	0.2	-10	-55.8	0	2.2	-2.2	-32.8	-0.4	0.4	37.4	-0.2	-0.2	-8.8	-0.2	-0.2	0	0	-0.6	11	0	0	-1	-1	-0.2	0	0.4	34	0	8
-3.6	0.4	-39.8	-52.66	0	1	-0.2	0.6	-11.2	-52.2	-0.8	0	-3.6	-39.8	0	1.4	55	-0.2	-0.2	-6.4	-0.2	0.2	0	0	-1	-7.4	0	0	-1.4	-1.6	-0.4	-0.2	0.6	34.8	0	-19
0.4	5	8.6	-48.14	0.2	1.4	0	5	-7.6	-27.2	-1.2	3.8	0.4	8.6	0.2	1.2	55	0	-0.2	-12.4	-0.2	0	0	0	-1.4	-21.2	0	0	-1.6	-1.8	0.2	0.2	-0.6	-22	0	-11
0	3	-17.4	-48.64	0.4	1.2	-0.4	0.8	-12.4	-52.6	-1.4	2.2	0	-17.4	0.4	1.6	68.4	0	-0.4	-0.8	0	0.4	0	0	-1.2	-22.4	0	0	-1	-1.2	-1	-0.8	0	9.6	0	1
-0.6	2.6	-1.8	-2.10000000000002	0.6	0.6	0.6	6	-12.6	-34.6	-1.8	1.8	-0.6	-1.8	0.6	1.4	64.2	0	-0.2	2.2	0	-0.4	0	0	-0.6	-18.4	0	0	-1.2	-1.4	-0.4	-0.2	-0.6	-20.4	0	-24
1.4	5.2	30.8	0.379999999999981	0.4	0.8	0.2	1	-15.4	-68.2	-1.6	4.4	1.4	30.8	0.4	2.4	78.8	0	-0.6	-3.2	0	0	0	0	-0.8	-32.8	0	0	-1	-1.2	-1	-1.2	-0.4	-8	0	-6
1.4	5.6	33.4	4.09999999999998	-0.2	0.6	1	3.2	-14.4	-66	-1	5	1.4	33.4	-0.2	2.6	84.4	0	-0.4	-1.4	0	-0.8	0	0	-0.6	-28.6	0	0	-1	-1	-1	-1.2	-0.2	-4	0	-21
0	2.8	7	-8.44000000000002	-0.6	1	1.2	3.6	-17.8	-77.4	-0.8	3.2	0	7	-0.6	3	88	0	-1	-11.6	0	-1	0	0	-1	-29	0	0	-1	-1	-1.6	-1.8	0.2	20.6	0	-20
0.6	3	8.2	-2.24000000000002	-0.6	0.8	1.2	2.2	-11.8	-50.4	-0.4	3.6	0.6	8.2	-0.6	3	79.6	0	-0.6	-14	0	-1	0	0	-0.8	-23.4	0	0	-0.8	-0.8	-1.4	-1.8	-0.4	-5.2	0	8
1.6	2.8	23.4	-13.4	-0.8	0.6	0.2	-2	-6.6	-50	0.2	4	1.6	23.4	-0.8	2.4	42.2	-0.2	-0.4	-15.8	0	-0.2	0	0	-0.6	-23	0	0	-0.6	-0.6	-1.2	-1.6	-0.6	-29	0	-14
-1	-1	-12.4	-19.08	-1	0.4	0.6	9	-7	-46.4	0.2	0.4	-1	-12.4	-1	2.4	45	-0.2	-0.6	-11.8	0	-0.6	0	0	-0.4	-6	0	0	-0.8	-0.8	-1.2	-1.2	1	29.8	0	-7
-2.8	-6.2	-32.8	-0.720000000000016	-0.4	-0.2	0.4	6.8	-2.4	-25.8	0	-4.2	-2.8	-32.8	-0.4	0.8	20.2	-0.2	-1	-13.4	0	-0.4	0	0	0.2	2	0	0	-0.4	-0.4	-0.8	-0.8	1.2	36.4	0	7
-3.2	-6	-22.2	8.59999999999999	0	-0.6	0	3.8	-1.2	-31.6	-0.2	-4.2	-3.2	-22.2	0	0.8	18.6	-0.2	-1	-11.4	0	0	0	0	0.6	1.8	0	0	-0.2	-0.2	-1	-0.6	1.6	45.8	0	-10
