Delta_passing_attempts	Delta_passing_completions	Delta_passing_yards	Delta_passing_rating	Delta_passing_touchdowns	Delta_passing_interceptions	Delta_passing_sacks	Delta_passing_sacks_yards_lost	Delta_rushing_attempts	Delta_rushing_yards	Delta_rushing_touchdowns	Delta_receiving_targets	Delta_receiving_receptions	Delta_receiving_yards	Delta_receiving_touchdowns	Delta_kick_return_attempts	Delta_kick_return_yards	Delta_kick_return_touchdowns	Delta_punt_return_attempts	Delta_punt_return_yards	Delta_punt_return_touchdowns	Delta_defense_sacks	Delta_defense_tackles	Delta_defense_tackle_assists	Delta_defense_interceptions	Delta_defense_interception_yards	Delta_defense_interception_touchdowns	Delta_defense_safeties	Delta_point_after_attemps	Delta_point_after_makes	Delta_field_goal_attempts	Delta_field_goal_makes	Delta_punting_attempts	Delta_punting_yards	Delta_punting_blocked	Delta_Score
1.2	-7.8	-6.6	30.88	0.4	-0.6	-0.2	-3	13.4	74.4	1.2	0	1.2	-6.6	0.4	-1.2	-20.8	0	1	10.6	0	0.2	0	0	0.6	9.4	0	0	1.8	1.6	0.2	-0.4	-1.2	-32.4	0.2	29
-1.4	-9.4	-7.6	35.5799999999999	-0.2	-1.6	-0.6	-4.4	19.4	96.4	1.8	0	-1.4	-7.6	-0.2	-2	-42.4	0	0.8	12.6	0	0.6	0	0	1.6	29	0	0	1.8	1.6	0.8	0.4	-1.2	-35.2	0.4	6
-2.2	-9.4	-34.2	12.84	-0.2	-1.4	-0.2	-5.4	16.4	88.2	1.6	0	-2.2	-34.2	-0.2	-1.8	-44	0	0.4	6.8	0	0.2	0	0	1.4	25.4	0	0	1.4	1.2	0.4	0.2	-0.4	-8.2	0.4	6
0.8	-4.4	14.2	11.46	0	-1	-0.4	-7.2	15.2	75.8	1.6	0	0.8	14.2	0	-2.4	-51	0	0.6	11.4	0	0.4	0	0	1	9.4	0	0	1.6	1.4	0.4	0.4	-1	-33.2	0.4	13
-3.8	-4	-14.8	-24.52	0	-0.8	-0.8	-10	5.6	37.4	1	0	-3.8	-14.8	0	-1.2	-42.4	0	0.4	26.8	0.2	0.8	0	0	0.8	1	0	0	1.4	1	-0.6	-0.4	-0.2	-6.8	0.2	-11
-4	-3.6	-19	11.08	0	-1.2	-0.6	-10	7.4	49	0.4	0	-4	-19	0	-1.4	-34.4	0	0	24.8	0.2	0.6	0	0	1.2	6.4	0	0	0.6	0.4	-0.6	-0.2	0	-1.2	0.2	10
-2	-3	-22.6	16.82	0.4	-1.2	-0.6	-9.8	6.6	39.6	0.2	0	-2	-22.6	0.4	-1.4	-33.4	0	0	26	0.2	0.6	0	0	1.2	1.2	0	0	0.8	0.6	-0.4	-0.4	0.2	5.2	0	4
-5	-5.6	-16	21.12	0.6	-1	-0.4	-4.8	2	19	-0.2	0	-5	-16	0.6	-1	-17.4	0	0.2	31.2	0.2	0.4	0	0	1	-4	0	0	0.8	0.6	-0.6	-0.2	0	0.2	0	3
-4	-5.8	-17.4	33.6	0.8	-1.2	0.2	-0.8	-1.6	2	-0.4	0	-4	-17.4	0.8	-0.6	-19.4	0	0.4	26.2	0.2	-0.2	0	0	1.2	10.8	0	0	0.6	0.4	-1.2	-0.6	0.4	12.8	0	6
-0.2	-2	28.4	34.82	0.4	-0.8	0.4	1.8	3	15.4	0	0	-0.2	28.4	0.4	-1	-16.2	0	0.2	1.6	0	-0.4	0	0	0.8	6.4	0	0	0.2	0.2	-1	-0.2	0.2	-2.6	0	-13
-1	-2.2	18.8	9.91999999999996	0.4	-0.6	0.4	5	0.8	-3	0	0	-1	18.8	0.4	-0.8	-11.8	0	0	1.4	0	-0.4	0	0	0.6	1.2	0	0	0.2	0.2	-0.6	-0.2	0.2	4.2	0	10
1.6	2.4	36.6	1.29999999999997	0	-0.4	0.2	4.6	0.2	0.4	0.2	0	1.6	36.6	0	-0.2	4.8	0	0.8	2	0	-0.2	0	0	0.4	-0.4	0	0	0	0	-0.4	-0.2	-0.2	-3.4	0.2	-3
2.4	1.8	33	13.08	0	-0.4	-0.2	2	3.8	14.4	0.8	0	2.4	33	0	-0.2	7.4	0	0.6	-2.4	0	0.2	0	0	0.4	-0.8	0	0	0.4	0.6	-0.8	-0.8	-0.6	-14.4	0.2	14
-0.2	-1.4	13.8	19.6	-0.2	-1	-0.8	-0.2	12	53.4	1.6	0	-0.2	13.8	-0.2	-1	-8.4	0	1	1.6	0	0.6	0	0	1	11	0	0	1	1.4	-0.4	-0.8	-0.6	-15.4	0.2	27
2.8	2	16.8	43.96	0.2	-1	-0.4	0.6	12.4	52.8	1.2	0	2.8	16.8	0.2	-1	-10.2	0	1.6	8.2	0	0.2	0	0	1	14	0	0	1	1.4	0	-0.2	-1.2	-38.6	0.2	-4
3.4	4.6	10.2	34.08	0	-0.8	-1.6	-8.2	10.8	50.2	1.2	0.8	3.4	10.2	0	-0.2	-1.2	0	1.8	12.8	0	1.4	0	0	0.8	21.2	0	0	0.8	1.2	0	-0.2	-1.2	-46.4	0.2	3
1.2	2.8	-2.6	33.36	0.2	0	-1.2	-7.2	3.6	31	0.8	0.8	1.2	-2.6	0.2	0.2	-3.6	0	1.2	1.4	0	1	0	0	0	16.6	0	0	0.6	1	-0.8	-0.4	-1	-40.6	0	-13
0	0.8	-15.6	34.76	-0.4	-0.2	-1.2	-10.6	8.4	61.8	1	-3.8	0	-15.6	-0.4	-0.2	-27.4	0	0.8	1.8	0	1	0	0	0.2	21.6	0	0	0.4	0.6	0	0.2	-0.4	-16.8	0	10
-0.8	-0.2	3	17.64	-0.2	0.2	-1	-11.8	3	29.2	0.4	-5	-0.8	3	-0.2	0	-15.8	0	0	-2.2	0	1	0	0	-0.2	1	0	0	0.2	0.2	0.2	0.4	0	0.4	0	17
-1.2	-2.4	-2.8	-14.6	-0.2	0.4	-1.2	-12.6	-1.4	13.6	0.2	-2	-1.2	-2.8	-0.2	0.2	-12	0	0	-2.8	0	1.2	0	0	-0.4	-19.8	0	0	-0.4	-0.4	0.4	0.2	1	45	0	-28
-2.4	-3.4	5.6	-23.88	-0.6	0.8	0.2	-7	-3	10.8	0.4	-3	-2.4	5.6	-0.6	0	1.2	0.2	-0.2	-9.2	0	-0.2	0	0	-0.8	-30.6	0	0	-0.4	-0.4	0.2	-0.2	0.4	25	0	-3
-0.4	-0.2	22.6	-27	-0.8	0.8	0.2	-6.8	-2	10.6	0.4	0.4	-0.4	22.6	-0.8	-0.2	4.8	0.2	0	1.8	0	-0.2	0	0	-0.8	-34.8	0	0	-0.6	-0.6	0.8	0.2	0	12.8	0	-14
1.4	2.6	26.2	-24.98	-0.2	0.6	0.2	-6.8	-1.4	7.4	0.2	3	1.4	26.2	-0.2	-0.6	8.2	0.2	0.4	8.8	0	-0.2	0	0	-0.6	-27	0	0	-0.2	-0.2	0.8	0.2	-0.4	-8	-0.2	24
0.8	3.2	-16.8	-27.34	-0.6	1	0.4	-6.6	-3	13.6	0	3.4	0.8	-16.8	-0.6	0	16	0.2	0.4	12.4	0	-0.4	0	0	-1	-21.2	0	0	-0.6	-0.6	0	-0.4	-0.2	-2.6	-0.4	-6
-2	-3.6	-40.8	10.02	-0.6	-0.4	0.2	-10	4.6	38.8	0.8	-2.8	-2	-40.8	-0.6	-2.2	-9.2	0.2	0.2	11.6	0	-0.2	0	0	0.4	10.2	0	0	0.8	0.8	0.6	0.2	-0.8	-28.2	-0.4	30
-2.4	-5.8	-57.2	12.08	-0.2	-1	-0.4	-10.6	6.6	41.6	0.6	-5	-2.4	-57.2	-0.2	-2.4	-25.4	0	0.6	11.6	0	0.4	0	0	1	15.4	0	0	0.8	0.8	1	0.8	-0.2	-18.4	-0.4	6
-2.8	-8.2	-44.4	22.18	0	-1.2	1.2	-2.8	8.4	42	0.6	-7.4	-2.8	-44.4	0	-2.8	-26.6	0	0.8	12.4	0	-1.2	0	0	1.2	18.6	0	0	1	0.8	1.2	1.2	-0.4	-36.4	-0.4	-7
-2	-6	-27.4	13.32	0	-0.6	1	1.6	2	-4.4	0.2	-5.6	-2	-27.4	0	-1.8	-9.6	0	0.8	5.8	0	-1	0	0	0.6	3.8	0	0	0.6	0.4	0.8	0.4	-0.4	-30	-0.2	-2
-5.6	-11.6	-59.8	16.46	-0.2	-1.2	1	0.4	1.6	-6	0.2	-12	-5.6	-59.8	-0.2	-2.2	-22	0	0.6	3.6	0	-1.2	0	0	1.2	30.8	0	0	0.8	0.6	1.6	1.2	-0.4	-32	0	13
-5.2	-7	-39.2	-12.28	-0.2	0.2	1	4.6	-3.8	-33	-0.4	-7	-4.6	-33.8	-0.2	-0.2	-1.6	0	0.8	5.4	0	-1.2	0	0	-0.2	16.6	0	0	0	-0.2	0.6	0.4	-0.2	-22.6	0	-10
-5.6	-6.2	-45.2	-10.1	-0.6	0.4	1.8	8.6	-4.2	-38.2	0	-5.8	-5	-39.8	-0.6	0.4	5.4	0	0.8	8.8	0	-2	0	0	-0.4	13.6	0	0	0	-0.2	-0.4	-0.4	0.2	6.6	0	-6
-6.8	-8.6	-64.6	-10.6	-0.2	0.2	0	-1	-2.8	-34.8	0.4	-8.4	-6.2	-59.2	-0.2	0.4	0.2	0	0	4.8	0	-0.2	0	0	-0.2	14.6	0	0	0.8	0.8	-1.4	-1.4	0.8	38	0	12
-6.6	-8.2	-69.2	-29.24	-0.4	0	1	1.8	-6.6	-54.2	0	-7.2	-6	-63.8	-0.4	1.2	22.4	0	0	5.4	0	-1.2	0	0	0	7	0	0	-0.2	-0.2	-1.4	-1.2	1.6	63	0	-28
-1.4	-2.4	-8.2	-18.14	0	0.2	1	3.4	-1.6	-51	0.2	-0.8	-0.8	-2.8	0	1.6	38.2	0	0	-5.6	0	-1	0	0	-0.2	-16	0	0	-0.2	-0.2	-1.8	-1.6	1	33.4	0	7
-2.6	-6.2	-16.6	-11.04	0	-0.6	0.8	1.2	1.2	-37.2	0.6	-5.2	-2.6	-16.6	0	0.8	24.2	0	-0.4	-5.6	0	-0.8	0	0	0.6	-4.4	0	0	0.2	0.2	-1.4	-1.2	1.2	34.2	0	10
2.2	-0.6	25	-2.44000000000003	0.4	0.2	0.8	3.4	-3.4	-61.6	-0.6	0	2.2	25	0.4	1.2	30.8	0	-0.8	-9.2	0	-0.8	0	0	-0.2	-12.4	0	0	-0.4	-0.6	-1.2	-0.8	0.6	20.8	0	-27
5	2.8	29.4	-12.78	0	0.4	0.8	2.6	3.8	-28.4	-0.6	3.6	5	29.4	0	1	26.4	0	0.2	-5.4	0	-0.8	0	0	-0.4	-12.4	0	0	-0.8	-1	-0.4	0	0.2	0.8	0	10
3.6	0.2	11.8	-8.98000000000004	0.2	0.4	-0.2	-2.4	12.8	27.2	0	1	3.6	11.8	0.2	-0.4	-0.2	0	0.6	-10	0	0.2	0	0	-0.4	0.2	0	0	0.4	0.2	-0.4	0.4	-0.6	-26	0	14
2.4	1.2	-15.2	-19.14	0	0.4	-0.4	-3.2	6.8	23	-0.2	2	2.4	-15.2	0	0.2	9.8	0	1.6	3.8	0	0.4	0	0	-0.4	-0.2	0	0	0	-0.2	-0.4	0.2	-0.2	-9.2	0	-10
2.2	2.2	-5.2	-9.72000000000003	0.4	0.6	-0.8	-5	6	23.2	-0.4	3	2.2	-5.2	0.4	0.6	15.2	0	1.6	-1.2	0	0.8	0	0	-0.6	-6.6	0	0	0.2	0	-0.2	0.2	-0.6	-20.6	0	17
-2	-4.4	-53.6	-25.22	0	0	-1.2	-7	7	42.4	0.8	-3.4	-2	-53.6	0	0	8	0	1.4	-1.2	0	1.2	0	0	0	4	0	0	0.8	0.8	-0.2	0	0.2	0.2	-0.2	-3
-3	-3.8	-54.8	-19.82	0.4	-0.4	-0.8	-2.6	3.2	35	0.8	-2.6	-3	-54.8	0.4	0.4	10.2	0	0.6	-17.6	-0.2	0.8	0	0	0.4	4	0	0	0.8	0.8	-0.4	-0.4	0.2	-4.4	-0.2	4
-2	-1.2	-28.4	-10.08	0.2	0	-0.8	-4	3.2	26.8	0.6	-0.4	-2	-28.4	0.2	0.6	-3.2	0	0.6	-8.8	-0.2	0.8	0	0	0	-15.2	0	0	0.4	0.4	0.2	0.2	0	-14.6	-0.2	3
-4.6	-6	-32.8	-6.68000000000004	0.6	0.4	-1.4	-9.4	4.6	36.8	0.2	-4.6	-4.6	-32.8	0.6	0.4	-14.8	0	-0.2	-10.8	-0.2	1.4	0	0	-0.4	-31.2	0	0	0.6	0.6	0.2	0.2	-0.2	-10.8	-0.2	-3
-4.6	-5.2	-46.4	-33.48	0.2	0.4	-1.2	-8.6	3	19.2	0	-4	-4.6	-46.4	0.2	0.4	-4.4	0	-0.4	-9	-0.2	1.2	0	0	-0.4	-24	0	0	0	0	0.2	0	0.2	-2	-0.2	-7
-3.8	-4.4	-10.4	-8.78000000000003	0.6	-0.2	-1.6	-12.2	8.8	45.2	0.2	-3.2	-3.8	-10.4	0.6	-0.4	-25.6	0	-0.4	-12.4	-0.2	1.6	0	0	0.2	-27	0	0	0.6	0.6	0.6	0.2	-0.4	-21	0	21
-5.6	-7.2	-20.6	-6.80000000000004	0.6	-0.2	-2.6	-18.6	12.2	58.2	-0.2	-6	-5.6	-20.6	0.6	-0.8	-28.6	0	0	0.4	0	2.6	0	0	0.2	-25.2	0	0	0.4	0.4	1.6	0.8	-1.2	-46.6	0	6
-7	-9.4	-27	49.98	0.8	-0.6	-2.6	-19.4	9	42.8	-0.2	-8.2	-7	-27	0.8	-1.2	-31	0	-0.6	-6.8	0	2.6	0	0	0.6	0	0	0	0.6	0.6	1.4	0.4	-1.2	-33.2	0	16
-4	-5.4	-12.4	45.34	0.6	-0.4	-1.6	-10.2	7.4	29.8	0	-5.4	-4	-12.4	0.6	-1	-18.6	0	-0.8	-11.8	0	1.6	0	0	0.4	19.6	0	0	0.6	0.6	1.2	0.2	-1.6	-28	0	-6
-3.2	-5.4	1.8	74.94	0.6	-1.2	-1.4	-10	10	40.6	0	-5.4	-3.2	1.8	0.6	-1.6	-38	0	-0.8	-13.8	0	1.4	0	0	1.2	16.2	0	0	0.6	0.6	1.6	0.8	-1.6	-20.8	0	2
-2.8	-2.8	-15.4	72.12	-0.2	-0.2	-1.2	-8	6.2	11.8	-0.6	-2.8	-2.8	-15.4	-0.2	-0.2	-16.4	-0.2	-0.8	-14.4	0	1.2	0	0	0.2	13.8	0	0	-0.8	-1	1.6	1	-1.2	-3.2	0	-31
-3.6	-4	-31.4	59.9	-0.8	0	-0.6	-4.8	3.4	8	-0.2	-4	-3.6	-31.4	-0.8	0	-16.8	-0.2	-0.8	-12.6	0	0.6	0	0	0	11.2	0	0	-0.8	-1	1.2	0.8	0	46.4	0	3
-2.2	-3.8	-37.8	25.08	-0.4	-0.6	-0.8	-5.4	4.4	11.4	-0.4	-3.6	-2.2	-37.8	-0.4	0.2	12.6	-0.2	-0.6	-7.2	0	0.8	0	0	0.6	7.4	0	0	-0.6	-0.8	1.2	0.8	0.4	39.6	0	17
-2.8	-6.4	-32.8	6.81999999999997	-0.4	-1	-1.2	-8.6	10.2	31	0.4	-6	-2.8	-32.8	-0.4	-0.8	-3.8	-0.2	-1	-8.8	0	1.2	0	0	1	7.2	0	0	0.4	0.2	1	1	0.8	37.8	0	26
-2	-5.4	-36.4	3.69999999999997	0	-0.4	-0.8	-5	9.6	37.8	0.4	-4.8	-2	-36.4	0	-0.8	17.6	-0.2	-1	-4.4	0	0.8	0	0	0.4	3.2	0	0	0.8	0.6	0.4	0.8	0.6	32	0	13
-4.4	-7.8	-47.4	-6.92000000000002	0.8	-1	-0.8	-6	9.6	53.2	0.6	-7	-4.4	-47.4	0.8	-1.6	7.4	0	-1.6	-16.2	0	0.8	0	0	1	5.4	0	0	1.6	1.6	-0.4	0.4	0.6	36	0	-3
-2.6	-3.4	-26.8	-1.58000000000003	0.6	-0.8	0.2	-1.8	5.2	8	0.4	-3	-2.6	-26.8	0.6	-0.4	38.4	0	-1.6	-12.8	0	-0.2	0	0	0.8	6.2	0	0	1.4	1.4	-1.6	-0.6	0.6	29.8	0	-25
-0.6	0.6	-25.8	-5.74000000000003	-0.2	-0.4	1.4	5.4	3.4	-4.2	0.8	0.6	-0.6	-25.8	-0.2	0.4	45.2	0	-1.8	-24.6	0	-1.4	0	0	0.4	4	0	0	1	1	-2	-1	1	59.6	0	-3
1.4	4	-11.8	14.48	-0.6	-0.2	1.6	7	1.6	-13.6	0.6	4.2	1.4	-11.8	-0.6	1.4	57	0	-1.2	-24	0	-1.6	0	0	0.2	-3.4	0	0	-0.2	-0.2	-1.6	-0.8	0.8	47	0	-1
3.4	8.4	7.2	10.1	-1.2	0.4	1.4	5.4	-4.6	-46.8	0.4	8.6	3.4	7.2	-1.2	2.8	62.6	0	-1.4	-33.8	0	-1.4	0	0	-0.4	-4.8	0	0	-1.2	-1.2	-1.8	-1.4	1.4	71.8	0	-23
10	18	73.2	-7.44000000000003	-1	1.4	2	12.6	-6.6	-58.4	0.2	17.4	10	73.2	-1	3.6	84.4	0	0.2	-16.4	0	-2	0	0	-1.4	-22.2	0	0	-1.4	-1.4	-1.6	-1.8	0.6	21.2	0	-8
8.2	14	45.2	-13.16	-0.8	1.2	0.8	7.6	-0.4	-10	0.4	13.8	8.2	45.2	-0.8	2.2	53.6	0	0	-25.2	0	-0.8	0	0	-1.2	-22.2	0	0	-1.2	-1.2	-0.6	-0.6	1	40	0	6
8.4	12.2	74.6	-10.94	-0.2	1.8	-0.6	-0.4	4.4	10.2	0.2	12	8.4	74.6	-0.2	1	27.2	0	1	-11	0	0.6	0	0	-1.6	-27.2	0	0	-0.8	-0.8	-0.4	-0.2	0	-15	0	17
6.6	10.6	60	-6.22000000000003	-0.2	1.2	-0.8	-0.4	2.8	0.4	-0.2	10.6	6.6	60	-0.2	1.2	54.4	0.2	0.6	-11.8	0	0.8	0	0	-1	-16.6	0	0	-0.8	-0.8	0.2	0.2	0	-16.2	0	-1
6.2	9	60.4	-12.38	0	1	-1.4	-2.8	7.8	28.2	0.2	8.8	6.2	60.4	0	0.6	41.4	0.2	1	-10.2	0	1.4	0	0	-0.8	-20.4	0	0	0	0	0.2	0.2	-0.4	-27.6	0	-3
4.2	2.4	21.6	39.8	0	0.2	-2.2	-9.8	12.4	40	0.2	2.4	4.2	21.6	0	-0.4	31.2	0.2	0.8	-7	0	2.2	0	0	0	-3	0	0	0.4	0.4	0.2	0.6	-0.6	-28.6	0	4
5.8	4.2	68.4	48.7	0.2	0.2	-1.4	-6.8	8.6	7.4	0	4.2	5.8	68.4	0.2	0	37.4	0.2	0.6	-2.2	0	1.4	0	0	0	-7.4	0	0	0.6	0.6	0	0.2	-1.4	-67	0	1
1.8	2.4	30.6	35.06	-0.2	0	0.2	4.8	2.2	7.4	-0.2	2.4	1.8	30.6	-0.2	1.4	54	0.2	-0.6	-12.2	0	-0.2	0	0	0	-2.4	0	0	0	0	-0.2	-0.2	-0.4	-11.2	0	-8
4.2	8	37.8	57.74	0	0.2	0.8	8	-1	4	-0.2	8	4.2	37.8	0	1.2	26.8	0	-0.8	-16.6	-0.2	-0.8	0	0	-0.2	-8.6	0	0	-0.2	-0.2	-0.8	-0.6	0.2	0.8	0	-14
2.2	4	21.8	69.96	0.2	-0.2	0.8	4.6	2.6	37.4	0.2	4	2.2	21.8	0.2	0.4	14.4	0	-0.8	-11.6	-0.2	-0.8	0	0	0.2	-0.6	0	0	0.4	0.4	-0.8	-0.4	-0.2	-21.2	0	21
-0.4	3.6	22.8	26.86	0	-0.2	1.6	7	1.2	36.8	0.2	3.6	-0.4	22.8	0	0.6	10	0	-1.6	-17.8	-0.2	-1.6	0	0	0.2	-1.2	0	0	0.2	0	-0.2	0	0.4	2	0	-3
1	3.8	11.2	48.96	0.2	-0.4	1.2	8	2.4	44.6	0.2	3.6	1	11.2	0.2	0.4	9.6	0	-1.6	-19	-0.2	-1	0	0	0.4	11.4	0	0	0	-0.2	-0.2	0.2	0.8	17.6	0	3
3.8	7.6	7.4	48.94	-0.2	-0.6	-0.2	-1.2	3.8	34.6	0.6	7.6	3.8	7.4	-0.2	-0.2	2.8	0	-1.2	-12	-0.2	0.4	0	0	0.6	11.4	0	0	0	-0.2	0.8	0.8	0	-2.6	0	-1
4.6	6.6	13	18.56	0.4	0	-0.8	-11.2	5.4	38.6	0.4	6.4	4.6	13	0.4	-0.8	-0.8	0	-0.8	-6.8	0	1	0	0	0	9.4	0	0	0.6	0.4	0.8	0.6	-0.8	-12.8	0	4
3.8	6.6	15	-3.34000000000003	0	0.6	0.2	-5.6	2.6	8.4	0	6.6	3.8	15	0	-0.2	7.2	0	-0.8	-5	0	0	0	0	-0.6	-6	0	0	-0.2	-0.4	1.4	0.8	-0.8	-2.6	0	-4
6	6.4	18.6	9.05999999999997	0	0.6	-0.2	-8.6	0.6	-9.4	0	6.6	6	18.6	0	0	12.4	0	-0.2	4.2	0	0.4	0	0	-0.6	-5.6	0	0	-0.2	-0.2	1	0.4	-0.4	3.4	0	-3
4.6	8.4	25	-8.72000000000002	-0.4	0.6	0	-9.8	-3.8	-30.8	-0.4	8.6	4.6	25	-0.4	-0.2	19.6	0	-0.4	4.8	0	0	0	0	-0.6	-7	0	0	-1	-1	1.6	0.6	-1	-0.4	0	-16
4.4	4.8	48	-12.62	0.8	0.4	0.4	-8.6	-1.6	-33.6	-0.8	5	4.4	48	0.8	-0.8	10.8	0	-0.2	6.8	0	-0.4	0	0	-0.4	-7.6	0	0	-0.2	-0.2	0.6	0	-0.6	-7.8	0	18
2.8	5.4	42.4	-17.8	0.2	0.2	0.8	-0.4	-4.6	-43	-0.8	5.4	2.8	42.4	0.2	-0.4	12.6	0	0.2	12.6	0	-0.8	0	0	-0.2	-9.2	0	0	-0.8	-0.8	0.4	0.2	-0.4	-6.4	0	-14
3.6	7.2	27.2	-7.02000000000003	0.4	-0.2	0.4	0.2	-10	-70.6	-1	6.8	3.6	27.2	0.4	0	28.4	0	0	12.6	0	-0.4	0	0	0.2	3.4	0	0	-0.8	-0.8	-0.4	0	0.4	19	0	-7
2	6	28.4	-13.42	0.2	0.2	0	1	-8.4	-45	-1	6	2	28.4	0.2	0	21.4	0	0.2	6.4	0	0	0	0	0.4	3.6	0	0	-1	-1	-0.4	0.2	-0.6	-29.2	0	-7
1.2	5.4	8.2	-39.4	-0.2	0.8	0.4	3	-13	-48.4	-0.8	5.6	1.2	8.2	-0.2	0.8	30	0	0.8	8.8	0	-0.4	0	0	-0.2	0.8	0	0	-0.8	-0.8	-0.8	-0.2	-0.4	-29.8	0	-21
1.2	7.6	1	-44.12	-1.4	1	0.4	3.2	-16.2	-67.2	-0.6	7.8	1.2	1	-1.4	1.6	38.8	0	0.8	4.4	0	-0.4	0	0	-0.4	1.4	0	0	-2	-2	-0.4	0.2	-0.2	-20.6	0	-12
0.6	3.4	-17.6	-9.18000000000002	-1.4	0.6	-0.2	-2.4	-8.8	-42.2	-0.4	3.8	0.6	-17.6	-1.4	1	26.6	0	1	5.4	0	0.2	0	0	0	11	0	0	-1.2	-1.2	0	0.4	-0.2	-25.8	0	3
2.4	5.8	7	-1.08000000000002	-1.4	0.4	-1	-9.2	-5	-33.8	-0.4	6.4	2.4	7	-1.4	0.4	12.2	0	1	5	0	1	0	0	0.2	22.4	0	0	-1	-1	0.8	0.6	-0.8	-53.8	0	3
2.8	8.6	-2.2	-6.30000000000002	-1.4	0.4	-0.4	-7	-6.4	-42.6	-0.8	9	2.8	-2.2	-1.4	0.8	21.8	0	0.6	4.8	0	0.6	0	0	-0.4	14	0	0	-1.6	-1.6	1.4	1	-0.2	-7	0	-22
2.2	2.4	6.6	21.32	-0.8	0	-1.4	-13	5.8	-7	-0.4	3	2.2	6.6	-0.8	0	9	0	0.8	7.8	0	1.6	0	0	0	10	0	0	-0.8	-0.8	1.4	1	-0.2	-20.2	0	7
1.2	1.2	5	32.44	-0.2	0.2	-1.8	-15.2	5.2	0.2	-0.4	1.8	1.2	5	-0.2	-0.4	2.4	0	0	4.8	0	2	0	0	-0.2	10	0	0	0	0	1.2	0.8	-0.4	-22	0	7
0.4	-1.4	0	2.01999999999997	-0.2	0.8	-1.6	-13	3.6	0.6	-0.2	-0.8	0.4	0	-0.2	0	9.4	0	-0.4	-0.4	0	1.8	0	0	-0.8	1.6	0	0	-0.2	-0.2	1	0.6	-0.6	-22.2	0	7
0.6	-0.8	-22.8	3.41999999999997	0	1	-1.6	-8.2	5	27.4	0.2	-0.4	0.6	-22.8	0	0.6	22.6	0	0	4.4	0	1.8	0	0	-1	-20.8	0	0	-0.4	-0.4	0.2	0.2	-0.2	-7.6	0	6
3.2	2.2	4.8	6.33999999999997	0.2	1	-1.4	-4.6	7.8	28.6	0.8	2.2	3	4.2	0.2	0.4	18	0	-0.2	3.6	0	1.4	0	0	-1	-10.8	0	0	0.4	0.4	-0.2	-0.2	-0.6	-23.4	0	6
5.8	9.2	-7.8	15.92	-0.2	0.8	-1	-0.6	2.6	5.2	0.6	8.4	5.6	-8.4	-0.2	0.8	21	0	-1	-6	0	1.2	0	0	-0.8	-10.8	0	0	-0.2	-0.2	0	0.2	-0.2	6.8	0	-8
5	8.4	-35	-8.34000000000003	-0.4	0.8	-1.4	-2.6	6	24.8	0.6	7.6	4.8	-35.6	-0.4	0.8	17.8	0	-0.4	-2	0	1.5	0	0	-0.8	-10.8	0	0	-0.4	-0.4	-0.2	0.4	-0.6	-3.4	0	3
5.2	9.4	-15.2	6.67999999999997	0.2	0.2	-0.8	0.2	9	43	0.6	8.4	5	-15.8	0.2	0.4	10.4	0	-0.8	-6.6	0	0.9	0	0	-0.2	-13	0	0	0	0	0	0.6	-0.4	3.6	0	24
3.4	4.4	-13.2	16.9	-0.2	-0.4	-0.8	-6.8	13.4	48.2	0.8	2.2	2.4	-23.8	-0.2	-1	-14.4	0	-0.6	-5.2	0	0.9	0	0	0.4	17	0	0	0.8	0.6	1	1.6	-1.2	-26.6	0	20
-2.8	-4.6	-77	15.2	-0.6	-0.4	-1.2	-10.8	10	47.2	0.6	-6.4	-3.6	-87	-0.6	-0.6	-3.4	0	-0.6	-8.6	0	1.3	0	0	0.4	16.6	0	0	0.6	0.4	0.4	1	-0.4	-3	0	-14
-4	-6.8	-54.6	2.61999999999997	0	-0.4	-1.2	-11	8.4	45.8	0.6	-8.4	-4.8	-64.6	0	-0.8	-14.8	0	0	0.6	0	1.1	0	0	0.4	18.6	0	0	1.2	1	0	0.4	-0.6	-15.4	0	4
-2.2	-5	-27.6	19.58	-0.2	-0.6	-0.2	-4.6	7.4	48	0.4	-6.8	-3	-37.6	-0.2	-0.8	-19.2	0	0.4	0	0	0.2	0	0	0.6	17.6	0	0	1	0.8	1	0.8	-0.4	-13.2	0	-6
-0.4	0.6	-28.6	7.49999999999997	-0.6	0.2	-0.6	-7	0.2	3	0.2	-1.4	-1.2	-38.6	-0.6	0.2	6	0	0.4	9.6	0	0.4	0	0	-0.2	1.6	0	0	0.2	0	-0.2	0.2	-0.2	-12.2	0	-13
-0.2	2.8	-23.4	0.699999999999965	-0.4	0.6	0	0.8	-7.2	-21.2	-0.2	2.2	-0.2	-23.4	-0.4	1.8	28	0	-0.8	-8	0	-0.2	0	0	-0.6	-17.4	0	0	-0.4	-0.4	-1.2	-1	1	31.6	0	-6
-1.2	1.4	-17.8	69.7	-0.2	0.2	0	-0.6	-3.8	-17.4	0	1	-1.2	-17.8	-0.2	0.8	7.2	0	-1.4	-9.2	0	-0.2	0	0	-0.2	-23	0	0	0.2	0.2	-0.8	-0.6	1	29.4	0	-3
0	2.6	-0.8	89.38	-0.2	0.2	0.2	-1.2	-3.2	-10.8	-0.2	2.4	0	-0.8	-0.2	1.4	26.8	0	-1.8	-18.8	0	-0.4	0	0	-0.2	-18.4	0	0	0	0	-0.4	-0.2	0.8	24.2	0	3
